regex;cat;time;subcat;suppl
partic\.swp;uncat;full;;
beamlost\.dat;parts;full;lost;
times\.dat;info;full;;
captured\.pls;uncat;full;;
plasma\.bin;uncat;single;;beamfile\.bit
fields\.bin;uncat;single;;beamfile\.bit
beamfile\.bin;parts;single;beamfile;beamfile\.bit
(e|g)(max|loc)f\.dat;grid;full;alongz;
d([rzmaRZMA])\d{5}\.swp;uncat;single;;
s?\d{5}\.pls;uncat;single;;
(u|v)\d{5}\.det;uncat;single;;
tb\d{5}\.swp;parts;single;parts;
tb-?.*\d{5}\.swp;parts;single;species;
pl\d{5}\.swp;uncat;single;;
fl\d{5}\.swp;uncat;single;;
ls(\d{6}\.\d{3})\.swp;uncat;single;;
(r|f)\d{5}\.det;uncat;single;;
([a-z][a-z])\d{5}\.det;uncat;single;;xi\d{5}\.det
xi_(([a-z]|[A-Z]){2,3})_\d{5}\.swp;grid;single;lineout;xi_\d{5}\.swp
(([a-z]|\d)[a-z])\d{5}[m|w]?\.swp;grid;single;2d;
